Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Senior
32,Male,1,Software Engineer,5,90000,UK,White,0
28,Female,2,Data Analyst,3,65000,USA,Hispanic,0
45,Male,3,Manager,15,,Canada,White,1
36,Female,1,Sales Associate,7,60000,,Hispanic,0
52,Male,2,Director,20,200000,USA,Asian,0
29,Male,1,Marketing Analyst,2,55000,USA,Hispanic,0
42,Female,2,Product Manager,12,120000,USA,Asian,0
31,Male,1,Sales Manager,4,80000,China,Korean,0
26,Female,1,Marketing Coordinator,1,45000,China,Chinese,0
38,Male,3,Scientist,10,110000,Australia,,1
29,Male,2,Software Developer,3,75000,UK,Welsh,0
48,Female,1,HR Manager,18,140000,UK,Asian,0
35,Male,1,Financial Analyst,6,65000,China,Korean,0
40,Female,2,Project Manager,14,130000,USA,African American,0
27,Male,1,Customer Service Rep,2,40000,Canada,Asian,0
44,Male,1,Operations Manager,16,125000,China,Chinese,0
33,Female,2,Marketing Manager,7,90000,USA,Asian,0
39,Male,3,,12,115000,UK,Mixed,1
25,Female,1,Data Entry Clerk,0,35000,UK,Asian,0
51,Male,1,Sales Director,22,,Australia,Asian,0
34,Female,2,Business Analyst,5,,China,Korean,0
47,Male,2,VP of Operations,19,190000,UK,White,0
30,Male,1,IT Support,2,50000,UK,Asian,0
36,Female,1,Recruiter,9,60000,China,White,0
41,Male,2,Financial Manager,13,140000,USA,African American,0
28,Female,1,Social Media Specialist,3,45000,Canada,,0
37,Female,2,Software Manager,11,110000,Australia,,0
24,Male,1,Developer,1,40000,Australia,Asian,0
43,Female,3,Consultant,15,140000,Canada,Black,1
33,Male,2,Product Designer,6,90000,China,Korean,0
50,Male,1,,25,250000,Canada,Asian,0
31,Female,1,Accountant,4,55000,UK,White,0
29,Male,2,Data Scientist,3,75000,USA,Hispanic,0
39,Female,1,Marketing Specialist,10,65000,Canada,White,0
46,Male,3,Manager,20,170000,USA,Hispanic,1
27,Male,1,Technical Writer,2,45000,Australia,Asian,0
35,Female,1,HR Generalist,7,60000,UK,White,0
42,Male,2,Project Engineer,14,115000,China,White,0
26,Female,1,Customer Success Rep,1,40000,Canada,Asian,0
49,Male,1,Sales Executive,21,160000,China,White,0
34,Female,2,UX Designer,5,80000,UK,Asian,0
48,Male,2,Operations Director,18,190000,Canada,Black,0
30,Male,1,Network Engineer,3,60000,China,Korean,0
36,Female,1,Administrative Assistant,8,45000,UK,Asian,0
41,Male,2,Strategy Consultant,13,130000,UK,Asian,0
28,Female,1,Copywriter,2,40000,USA,White,0
32,Male,1,Account Manager,5,75000,Australia,Asian,0
45,Female,2,Director of Marketing,16,180000,UK,Welsh,0
38,Male,3,Scientist,11,120000,Australia,Asian,1
25,Male,1,Help Desk Analyst,0,35000,USA,Asian,0
51,Female,1,Customer Service Manager,22,130000,China,Korean,0
