Gender,Years of Experience,Salary
Male,5,90000
Female,3,65000
Male,15,
Female,7,60000
Male,20,200000
Male,2,55000
Female,12,120000
Male,4,80000
Female,1,45000
Male,10,110000
Male,3,75000
Female,18,140000
Male,6,65000
Female,14,130000
Male,2,40000
Male,16,125000
Female,7,90000
Male,12,115000
Female,0,35000
Male,22,
Female,5,
Male,19,190000
Male,2,50000
Female,9,60000
Male,13,140000
Female,3,45000
Female,11,110000
Male,1,40000
Female,15,140000
Male,6,90000
Male,25,250000
Female,4,55000
Male,3,75000
Female,10,65000
Male,20,170000
Male,2,45000
Female,7,60000
Male,14,115000
Female,1,40000
Male,21,160000
Female,5,80000
Male,18,190000
Male,3,60000
Female,8,45000
Male,13,130000
Female,2,40000
Male,5,75000
Female,16,180000
Male,11,120000
Male,0,35000
Female,22,130000
Male,7,85000
Female,12,60000
Male,19,200000
Female,3,50000
Male,9,95000
Female,2,65000
Male,17,140000
Female,4,55000
Male,7,105000
Female,23,170000
Male,3,50000
Female,12,80000
Male,21,180000
Male,1,35000
Female,10,90000
Male,19,120000
Female,5,45000
Male,8,90000
Female,18,150000
Male,6,65000
Female,11,70000
Male,16,190000
Male,2,40000
Female,14,120000
Male,10,95000
Female,22,160000
Male,6,100000
Female,20,180000
Female,3,55000
Male,8,70000
Female,13,80000
Male,0,30000
Male,24,250000
Female,2,40000
Female,10,95000
Male,2,45000
Female,15,80000
Male,21,135000
Female,6,55000
Male,11,120000
Female,3,40000
Male,18,105000
Female,25,170000
Male,7,75000
Female,12,65000
Male,22,160000
Male,1,35000
Female,10,90000
Male,20,110000
Female,5,45000
Male,8,95000
Female,19,150000
Male,5,50000
Female,13,80000
Male,16,220000
Female,3,50000
Male,7,60000
Female,14,100000
Male,2,40000
Female,15,110000
Male,9,95000
Female,22,130000
Male,6,90000
Female,0.5,35000
Male,6,95000
Female,15,65000
Male,20,170000
Female,3,45000
Male,10,120000
Female,17,100000
Male,25,180000
Female,5,50000
Male,11,80000
Female,16,140000
Male,2,40000
Female,9,95000
Male,18,110000
Female,4,50000
Male,8,105000
Female,21,160000
Male,3,45000
Female,12,100000
Male,22,160000
Male,1,35000
Female,10,55000
Male,19,140000
Female,4,50000
Male,7,60000
Female,14,120000
Male,2,40000
Female,13,110000
Male,5,50000
Male,20,135000
Female,1.5,40000
Male,8,90000
Female,16,150000
Male,4,60000
Female,10,80000
Male,19,175000
Female,3,45000
Male,11,120000
Female,18,140000
Male,2,35000
Female,9,95000
Male,14,110000
Female,5,50000
Male,7,115000
Female,23,185000
Male,2,40000
Female,12,90000
Male,21,175000
Female,3,45000
Male,7,80000
Female,13,120000
Male,1.5,35000
Female,14,110000
Male,18,150000
Female,4,50000
Male,9,105000
Female,20,180000
Male,2,40000
Male,16,140000
Female,1.5,45000
Male,7,85000
Female,18,140000
Male,4,50000
Female,10,80000
Male,20,170000
Female,2,40000
Male,9,105000
Female,15,145000
Male,2,40000
Female,8,85000
Male,14,130000
Female,6,95000
Male,9,100000
Female,22,180000
Male,1.5,35000
Female,12,95000
Male,19,170000
Female,3,45000
Male,7,95000
Female,13,120000
Male,2,40000
Female,11,90000
Male,17,155000
Female,5,55000
Male,9,110000
Female,21,180000
Male,3,45000
Male,16,130000
Female,1.5,45000
Male,7,90000
Female,17,160000
Male,4,50000
Female,10,120000
Male,20,170000
Female,2,40000
Male,9,110000
Female,15,150000
Male,2,40000
Female,8,85000
Male,14,130000
Female,6,100000
Male,9,95000
Female,22,180000
Male,1.5,35000
Female,12,100000
Male,19,170000
Female,3,45000
Male,7,100000
Female,13,140000
Male,2,40000
Female,11,105000
Male,18,160000
Female,5,70000
Male,9,120000
Female,21,190000
Male,3,45000
Male,15,120000
Female,1.5,50000
Male,8,85000
Female,13,140000
Male,3,45000
Female,9,100000
Male,16,140000
Female,5,70000
Male,10,120000
Female,18,160000
Male,1.5,40000
Female,10,120000
Male,19,150000
Female,6,70000
Male,8,95000
Female,21,180000
Male,3,50000
Female,11,95000
Male,20,170000
Female,2,40000
Male,9,110000
Female,15,150000
Male,2,40000
Female,8,85000
Male,14,130000
Female,6,100000
Male,9,95000
Female,22,180000
Male,1.5,350
Female,10,120000
Male,18,160000
Female,3,50000
Male,12,110000
Female,1.5,40000
Male,8,95000
Female,15,140000
Male,4,60000
Female,9,110000
Male,16,150000
Female,4,60000
Male,8,90000
Female,20,180000
Male,2,40000
Female,9,120000
Male,17,160000
Female,5,70000
Male,8,95000
Female,21,180000
Male,3,50000
Female,11,95000
Male,19,170000
Female,1.5,35000
Male,9,100000
Female,15,150000
Male,4,60000
Female,8,85000
Male,13,130000
Male,4,65000
Female,10,110000
Male,21,180000
Female,2,40000
Male,7,90000
Female,14,140000
Male,4,60000
Female,12,130000
Male,16,160000
Female,2,40000
Male,9,100000
Female,20,180000
Male,3,55000
Female,9,120000
Male,16,150000
Female,5,70000
Male,8,95000
Female,21,180000
Male,3,50000
Female,12,120000
Male,19,170000
Female,1.5,35000
Male,9,100000
Female,15,150000
Male,4,60000
Female,8,85000
Male,13,130000
Female,6,80000
Male,8,95000
Female,2,40000
Male,10,120000
Female,16,160000
Male,4,65000
Female,12,130000
Male,20,180000
Female,2,40000
Male,9,100000
Female,15,150000
Male,3,55000
Female,10,110000
Male,21,180000
Female,3,50000
Male,12,130000
Female,16,160000
Male,4,60000
Female,8,95000
Male,19,170000
Female,2,40000
Male,7,90000
Female,15,150000
Male,5,70000
Female,8,90000
Male,18,170000
Female,3,50000
Male,14,150000
Female,16,160000
Male,4,60000
Female,8,85000
Male,19,180000
Female,1,35000
Male,8,110000
Female,16,160000
Male,3,55000
Female,10,110000
Male,21,180000
Female,3,50000
Male,12,130000
Female,16,160000
Male,4,60000
Female,8,95000
Male,19,170000
Female,2,40000
Male,7,90000
Female,15,150000
Male,5,70000
Female,8,90000
Male,18,170000
Female,3,50000
Male,14,150000
Female,16,160000
Male,4,60000
Female,8,85000
Male,19,170000
Female,2,40000
Male,7,90000
Female,15,150000
Male,6,160000
Female,3,125000
Male,2,120000
Female,2,110000
Male,5,180000
Female,4,140000
Male,7,170000
Female,1,100000
Male,8,190000
Female,6,155000
Male,3,130000
Female,5,145000
Male,2,115000
Female,4,140000
Male,9,185000
Female,1,100000
Male,8,190000
Female,6,155000
Male,3,130000
Female,5,145000
Male,3,125000
Female,2,120000
Male,2,110000
Female,5,180000
Male,4,140000
Male,7,170000
Female,1,100000
Male,8,190000
Female,6,155000
Male,3,130000
Female,5,145000
Male,2,115000
Female,4,140000
Male,9,185000
Female,1,100000
Male,8,190000
Female,6,155000
Male,3,130000
Female,5,145000
Male,3,125000
Female,2,120000
Male,2,110000
